Advertising,Digital Marketing,Sales,Marketing Research,Agency Fees,Training and Development,Promotions and Sponsorships
55.00,108.00,188.00,80.00,53.00,26.00,415.00
58.00,112.00,195.00,83.00,54.00,27.00,433.00
73.00,132.00,231.00,99.00,59.00,32.00,565.00
79.00,103.00,201.00,77.00,55.00,25.00,432.00
86.00,114.00,212.00,85.00,56.00,28.00,555.00
85.00,112.00,208.00,83.00,55.00,27.00,575.00
38.00,81.00,150.00,69.00,43.00,21.00,965.00
42.00,84.00,154.00,70.00,42.00,21.00,957.00
53.00,99.00,182.00,83.00,46.00,25.00,1063.00
61.00,84.00,165.00,71.00,43.00,22.00,950.00
47.00,62.00,109.00,48.00,26.00,15.00,593.00
57.00,99.00,159.00,60.00,42.00,18.00,329.00
68.00,84.00,142.00,49.00,38.00,15.00,342.00
55.00,78.00,124.00,47.00,35.00,14.00,371.00
57.00,79.00,125.00,47.00,35.00,14.00,366.00
74.00,75.00,134.00,51.00,25.00,14.00,857.00
38.00,77.00,129.00,52.00,39.00,16.00,376.00
3.00,90.00,155.00,65.00,87.00,58.00,513.00
1.00,87.00,150.00,63.00,86.00,57.00,521.00
-3.00,75.00,127.00,53.00,72.00,48.00,597.00
245.00,387.00,645.00,258.00,142.00,90.00,2067.00
-142.00,-31.00,169.00,200.00,111.00,66.00,2393.00
54.00,108.00,180.00,72.00,54.00,23.00,541.00
48.00,102.00,170.00,68.00,54.00,22.00,559.00
30.00,79.00,131.00,52.00,49.00,17.00,668.00
39.00,173.00,318.00,125.00,147.00,113.00,729.00
326.00,335.00,626.00,252.00,115.00,83.00,1316.00
334.00,341.00,637.00,257.00,116.00,84.00,1662.00
157.00,145.00,261.00,100.00,39.00,28.00,822.00
188.00,284.00,525.00,241.00,96.00,74.00,1321.00
240.00,247.00,486.00,209.00,85.00,64.00,969.00
265.00,288.00,527.00,244.00,89.00,75.00,1213.00
91.00,126.00,213.00,87.00,35.00,24.00,756.00
98.00,136.00,230.00,94.00,38.00,26.00,562.00
165.00,261.00,521.00,260.00,96.00,72.00,1559.00
220.00,239.00,509.00,239.00,91.00,66.00,1464.00
27.00,88.00,160.00,72.00,61.00,27.00,606.00
33.00,60.00,109.00,50.00,33.00,15.00,1064.00
56.00,81.00,160.00,69.00,43.00,21.00,1060.00
-4.00,42.00,76.00,34.00,46.00,12.00,197.00
1.00,48.00,86.00,38.00,47.00,14.00,248.00
0.00,46.00,81.00,36.00,43.00,13.00,252.00
28.00,48.00,80.00,32.00,20.00,8.00,841.00
27.00,47.00,79.00,32.00,20.00,8.00,837.00
42.00,47.00,84.00,32.00,19.00,8.00,833.00
-8.00,61.00,104.00,43.00,69.00,39.00,282.00
-5.00,69.00,118.00,49.00,74.00,44.00,335.00
-9.00,63.00,114.00,44.00,69.00,40.00,251.00
-9.00,63.00,114.00,44.00,69.00,40.00,261.00
-32.00,18.00,102.00,84.00,50.00,26.00,625.00
-12.00,49.00,169.00,120.00,61.00,37.00,1334.00
-39.00,23.00,116.00,86.00,49.00,26.00,1698.00
24.00,68.00,171.00,92.00,52.00,28.00,1898.00
11.00,49.00,85.00,36.00,38.00,11.00,187.00
9.00,47.00,82.00,35.00,38.00,11.00,248.00
13.00,47.00,87.00,35.00,38.00,11.00,191.00
16.00,51.00,94.00,37.00,40.00,12.00,195.00
19.00,53.00,91.00,39.00,36.00,12.00,212.00
-3.00,42.00,75.00,33.00,45.00,12.00,162.00
-11.00,31.00,56.00,25.00,42.00,9.00,209.00
-13.00,36.00,69.00,29.00,45.00,11.00,169.00
-6.00,42.00,75.00,34.00,43.00,12.00,182.00
26.00,62.00,107.00,46.00,40.00,15.00,415.00
29.00,64.00,107.00,43.00,35.00,13.00,424.00
-6.00,65.00,112.00,47.00,71.00,42.00,521.00
83.00,149.00,298.00,149.00,66.00,41.00,1245.00
13.00,67.00,121.00,54.00,54.00,20.00,337.00
12.00,64.00,115.00,51.00,52.00,19.00,396.00
16.00,69.00,124.00,55.00,53.00,20.00,410.00
19.00,67.00,129.00,54.00,54.00,20.00,337.00
9.00,57.00,109.00,45.00,51.00,17.00,409.00
18.00,66.00,128.00,54.00,54.00,20.00,404.00
9.00,57.00,110.00,46.00,51.00,17.00,422.00
12.00,29.00,49.00,20.00,17.00,5.00,464.00
25.00,34.00,60.00,22.00,17.00,6.00,452.00
23.00,43.00,72.00,29.00,20.00,8.00,862.00
45.00,52.00,94.00,36.00,22.00,10.00,862.00
96.00,123.00,218.00,82.00,58.00,27.00,788.00
89.00,143.00,245.00,102.00,54.00,31.00,666.00
110.00,125.00,228.00,89.00,51.00,27.00,481.00
177.00,195.00,333.00,141.00,62.00,43.00,692.00
142.00,161.00,275.00,116.00,54.00,35.00,678.00
113.00,127.00,232.00,91.00,51.00,28.00,656.00
66.00,114.00,193.00,79.00,48.00,25.00,425.00
75.00,125.00,211.00,86.00,50.00,27.00,463.00
50.00,93.00,156.00,63.00,43.00,20.00,446.00
105.00,125.00,209.00,86.00,46.00,27.00,454.00
83.00,99.00,178.00,68.00,43.00,21.00,445.00
17.00,134.00,230.00,96.00,117.00,87.00,683.00
2.00,90.00,154.00,64.00,88.00,58.00,551.00
2.00,87.00,149.00,62.00,85.00,56.00,612.00
12.00,105.00,201.00,75.00,102.00,68.00,522.00
4.00,90.00,165.00,65.00,87.00,58.00,513.00
18.00,74.00,133.00,59.00,56.00,22.00,377.00
20.00,77.00,140.00,63.00,57.00,23.00,397.00
13.00,67.00,121.00,54.00,54.00,20.00,391.00
24.00,70.00,134.00,56.00,54.00,21.00,385.00
40.00,84.00,155.00,71.00,44.00,22.00,950.00
61.00,81.00,168.00,69.00,44.00,21.00,965.00
61.00,84.00,164.00,70.00,43.00,21.00,957.00
68.00,96.00,175.00,81.00,44.00,25.00,1046.00
98.00,123.00,224.00,103.00,48.00,31.00,1073.00
67.00,89.00,175.00,75.00,44.00,23.00,1063.00
75.00,135.00,225.00,90.00,60.00,29.00,1148.00
104.00,135.00,223.00,90.00,56.00,29.00,1148.00
47.00,71.00,119.00,48.00,24.00,13.00,829.00
46.00,71.00,120.00,49.00,25.00,13.00,845.00
51.00,59.00,98.00,40.00,20.00,11.00,843.00
70.00,71.00,127.00,48.00,24.00,13.00,834.00
68.00,71.00,128.00,49.00,25.00,13.00,845.00
54.00,94.00,151.00,57.00,40.00,17.00,349.00
49.00,88.00,141.00,53.00,39.00,16.00,321.00
92.00,105.00,178.00,62.00,43.00,19.00,346.00
61.00,82.00,129.00,48.00,35.00,14.00,351.00
58.00,79.00,125.00,47.00,34.00,14.00,366.00
85.00,99.00,169.00,60.00,42.00,18.00,329.00
61.00,81.00,146.00,56.00,40.00,17.00,382.00
37.00,65.00,109.00,45.00,35.00,14.00,410.00
35.00,62.00,110.00,48.00,27.00,15.00,623.00
52.00,63.00,119.00,49.00,28.00,16.00,611.00
47.00,58.00,110.00,45.00,26.00,14.00,605.00
23.00,39.00,68.00,30.00,20.00,9.00,581.00
16.00,30.00,55.00,22.00,19.00,7.00,570.00
183.00,277.00,512.00,235.00,94.00,72.00,1060.00
206.00,307.00,567.00,260.00,101.00,80.00,1319.00
243.00,252.00,496.00,213.00,88.00,66.00,942.00
101.00,107.00,202.00,83.00,39.00,27.00,613.00
94.00,107.00,188.00,83.00,36.00,27.00,574.00
88.00,124.00,210.00,86.00,36.00,24.00,499.00
77.00,79.00,142.00,54.00,27.00,15.00,601.00
19.00,62.00,108.00,46.00,43.00,15.00,415.00
42.00,64.00,114.00,43.00,36.00,13.00,419.00
36.00,60.00,108.00,41.00,36.00,13.00,435.00
30.00,79.00,131.00,52.00,49.00,17.00,-587.00
275.00,281.00,554.00,239.00,96.00,74.00,1246.00
258.00,265.00,522.00,225.00,91.00,69.00,1272.00
68.00,107.00,190.00,83.00,39.00,27.00,613.00
166.00,163.00,274.00,113.00,40.00,31.00,897.00
116.00,111.00,199.00,76.00,33.00,21.00,580.00
38.00,76.00,128.00,52.00,38.00,16.00,357.00
46.00,90.00,165.00,75.00,44.00,23.00,956.00
45.00,89.00,163.00,74.00,44.00,22.00,949.00
47.00,91.00,167.00,76.00,44.00,23.00,965.00
38.00,80.00,148.00,68.00,42.00,21.00,998.00
36.00,77.00,142.00,65.00,41.00,20.00,1042.00
32.00,72.00,132.00,60.00,40.00,18.00,1070.00
36.00,77.00,142.00,65.00,41.00,20.00,1053.00
36.00,76.00,139.00,63.00,40.00,19.00,1075.00
67.00,89.00,174.00,74.00,44.00,22.00,949.00
52.00,80.00,147.00,68.00,39.00,21.00,998.00
50.00,77.00,141.00,65.00,38.00,20.00,1042.00
33.00,60.00,109.00,50.00,33.00,15.00,1064.00
49.00,74.00,145.00,62.00,41.00,19.00,1059.00
53.00,77.00,151.00,65.00,41.00,20.00,1053.00
58.00,81.00,160.00,69.00,42.00,21.00,1060.00
53.00,76.00,148.00,63.00,40.00,19.00,1075.00
30.00,75.00,130.00,55.00,45.00,18.00,312.00
30.00,75.00,130.00,55.00,45.00,18.00,305.00
25.00,68.00,119.00,51.00,43.00,16.00,311.00
22.00,65.00,113.00,48.00,43.00,15.00,334.00
15.00,56.00,98.00,42.00,41.00,13.00,384.00
22.00,65.00,113.00,48.00,43.00,15.00,380.00
22.00,64.00,111.00,47.00,42.00,15.00,375.00
27.00,71.00,124.00,53.00,44.00,17.00,380.00
47.00,75.00,145.00,55.00,47.00,18.00,312.00
45.00,75.00,139.00,55.00,45.00,18.00,305.00
37.00,68.00,127.00,51.00,43.00,16.00,311.00
30.00,65.00,112.00,48.00,40.00,15.00,334.00
26.00,62.00,107.00,46.00,40.00,15.00,367.00
22.00,57.00,99.00,43.00,38.00,14.00,388.00
21.00,56.00,97.00,42.00,38.00,13.00,384.00
33.00,64.00,118.00,47.00,42.00,15.00,375.00
40.00,71.00,132.00,53.00,44.00,17.00,380.00
31.00,65.00,121.00,49.00,44.00,16.00,392.00
41.00,107.00,193.00,86.00,66.00,32.00,484.00
38.00,104.00,189.00,85.00,66.00,32.00,476.00
34.00,98.00,178.00,80.00,64.00,30.00,494.00
34.00,96.00,173.00,77.00,62.00,29.00,529.00
32.00,93.00,169.00,76.00,61.00,28.00,580.00
31.00,93.00,169.00,76.00,62.00,28.00,613.00
27.00,88.00,160.00,72.00,61.00,27.00,606.00
34.00,98.00,177.00,79.00,64.00,30.00,593.00
26.00,85.00,153.00,68.00,59.00,25.00,619.00
61.00,107.00,206.00,86.00,66.00,32.00,484.00
56.00,104.00,201.00,85.00,66.00,32.00,476.00
47.00,96.00,171.00,77.00,58.00,29.00,529.00
44.00,93.00,167.00,76.00,57.00,28.00,580.00
43.00,93.00,167.00,76.00,58.00,28.00,613.00
36.00,83.00,160.00,67.00,59.00,25.00,599.00
50.00,98.00,189.00,79.00,64.00,30.00,593.00
56.00,102.00,196.00,82.00,64.00,31.00,601.00
-9.00,36.00,65.00,29.00,45.00,11.00,169.00
-6.00,38.00,68.00,30.00,44.00,11.00,165.00
-4.00,42.00,75.00,33.00,46.00,12.00,162.00
-8.00,36.00,65.00,29.00,44.00,11.00,169.00
-3.00,43.00,78.00,35.00,46.00,13.00,204.00
1.00,49.00,89.00,40.00,48.00,15.00,219.00
-9.00,36.00,65.00,29.00,45.00,11.00,215.00
-13.00,30.00,54.00,24.00,43.00,9.00,212.00
-12.00,31.00,56.00,25.00,43.00,9.00,209.00
-15.00,25.00,45.00,20.00,40.00,7.00,218.00
-14.00,36.00,73.00,29.00,47.00,11.00,169.00
-9.00,38.00,72.00,30.00,44.00,11.00,165.00
-6.00,42.00,80.00,33.00,46.00,12.00,162.00
-4.00,43.00,77.00,35.00,43.00,13.00,204.00
1.00,49.00,88.00,40.00,45.00,15.00,219.00
-12.00,36.00,64.00,29.00,42.00,11.00,215.00
-19.00,30.00,58.00,24.00,43.00,9.00,212.00
-18.00,31.00,60.00,25.00,43.00,9.00,209.00
-4.00,42.00,81.00,34.00,45.00,12.00,211.00
-22.00,25.00,48.00,20.00,40.00,7.00,218.00
34.00,63.00,112.00,49.00,29.00,16.00,623.00
36.00,63.00,111.00,48.00,27.00,15.00,599.00
35.00,63.00,111.00,48.00,28.00,15.00,593.00
56.00,90.00,159.00,69.00,34.00,22.00,572.00
85.00,130.00,231.00,101.00,45.00,33.00,552.00
77.00,120.00,214.00,94.00,43.00,31.00,540.00
53.00,63.00,125.00,49.00,30.00,16.00,623.00
52.00,63.00,119.00,49.00,28.00,16.00,617.00
55.00,67.00,127.00,52.00,30.00,17.00,605.00
50.00,63.00,110.00,48.00,25.00,15.00,599.00
44.00,60.00,105.00,46.00,26.00,15.00,587.00
86.00,99.00,174.00,77.00,34.00,25.00,581.00
129.00,133.00,251.00,103.00,46.00,33.00,564.00
114.00,120.00,228.00,94.00,43.00,31.00,540.00
47.00,73.00,123.00,50.00,26.00,14.00,821.00
48.00,73.00,123.00,50.00,25.00,14.00,814.00
47.00,72.00,121.00,49.00,25.00,13.00,809.00
43.00,68.00,115.00,47.00,25.00,13.00,821.00
42.00,65.00,109.00,44.00,23.00,12.00,844.00
34.00,55.00,92.00,37.00,21.00,10.00,876.00
28.00,49.00,83.00,34.00,21.00,9.00,890.00
40.00,64.00,108.00,44.00,24.00,12.00,886.00
37.00,59.00,99.00,40.00,22.00,11.00,881.00
52.00,78.00,132.00,54.00,26.00,15.00,885.00
47.00,73.00,123.00,50.00,26.00,14.00,898.00
73.00,73.00,138.00,50.00,27.00,14.00,821.00
71.00,73.00,131.00,50.00,25.00,14.00,814.00
70.00,72.00,129.00,49.00,25.00,13.00,809.00
64.00,68.00,123.00,47.00,25.00,13.00,821.00
58.00,65.00,108.00,44.00,21.00,12.00,844.00
47.00,55.00,91.00,37.00,20.00,10.00,876.00
43.00,52.00,86.00,35.00,20.00,9.00,894.00
39.00,49.00,82.00,34.00,20.00,9.00,890.00
59.00,64.00,115.00,44.00,24.00,12.00,886.00
55.00,59.00,106.00,40.00,22.00,11.00,881.00
77.00,78.00,141.00,54.00,26.00,15.00,885.00
70.00,73.00,131.00,50.00,26.00,14.00,898.00
24.00,60.00,101.00,41.00,36.00,13.00,236.00
28.00,64.00,107.00,43.00,36.00,13.00,231.00
34.00,72.00,121.00,49.00,38.00,15.00,241.00
34.00,74.00,125.00,51.00,40.00,16.00,265.00
42.00,82.00,138.00,56.00,40.00,17.00,302.00
48.00,90.00,151.00,61.00,42.00,19.00,329.00
34.00,71.00,120.00,49.00,37.00,15.00,315.00
36.00,75.00,127.00,52.00,39.00,16.00,327.00
33.00,55.00,104.00,38.00,36.00,12.00,241.00
36.00,60.00,108.00,41.00,36.00,13.00,236.00
42.00,64.00,114.00,43.00,36.00,13.00,231.00
47.00,74.00,124.00,51.00,37.00,16.00,265.00
58.00,82.00,137.00,56.00,37.00,17.00,302.00
66.00,90.00,150.00,61.00,39.00,19.00,329.00
68.00,90.00,150.00,61.00,38.00,19.00,322.00
45.00,67.00,120.00,46.00,37.00,14.00,316.00
53.00,75.00,135.00,52.00,39.00,16.00,327.00
25.00,72.00,120.00,48.00,47.00,15.00,372.00
24.00,69.00,114.00,45.00,45.00,14.00,366.00
26.00,72.00,119.00,47.00,46.00,15.00,361.00
28.00,75.00,125.00,50.00,47.00,16.00,372.00
32.00,80.00,132.00,52.00,48.00,17.00,397.00
42.00,94.00,156.00,62.00,52.00,20.00,436.00
44.00,96.00,160.00,64.00,52.00,21.00,467.00
44.00,96.00,160.00,64.00,52.00,21.00,460.00
34.00,84.00,139.00,55.00,50.00,18.00,453.00
23.00,69.00,114.00,45.00,46.00,14.00,447.00
20.00,66.00,109.00,43.00,46.00,14.00,452.00
39.00,72.00,134.00,48.00,49.00,15.00,372.00
36.00,69.00,121.00,45.00,45.00,14.00,366.00
39.00,72.00,127.00,47.00,46.00,15.00,361.00
42.00,75.00,133.00,50.00,47.00,16.00,372.00
44.00,80.00,131.00,52.00,45.00,17.00,397.00
61.00,96.00,159.00,64.00,48.00,21.00,467.00
61.00,96.00,159.00,64.00,48.00,21.00,460.00
50.00,84.00,148.00,55.00,50.00,18.00,453.00
34.00,69.00,121.00,45.00,46.00,14.00,447.00
30.00,66.00,116.00,43.00,46.00,14.00,452.00
42.00,74.00,130.00,48.00,46.00,15.00,462.00
-40.00,11.00,99.00,88.00,51.00,27.00,525.00
-31.00,18.00,102.00,84.00,49.00,26.00,625.00
-11.00,40.00,133.00,93.00,51.00,28.00,840.00
-15.00,38.00,136.00,98.00,53.00,30.00,973.00
-33.00,25.00,141.00,116.00,58.00,35.00,1142.00
-27.00,23.00,109.00,86.00,50.00,26.00,1698.00
17.00,68.00,160.00,92.00,51.00,28.00,1898.00
-62.00,11.00,111.00,88.00,54.00,27.00,525.00
-46.00,18.00,109.00,84.00,49.00,26.00,625.00
-16.00,40.00,142.00,93.00,51.00,28.00,840.00
-46.00,25.00,140.00,116.00,54.00,35.00,1142.00
-67.00,11.00,123.00,104.00,56.00,32.00,1574.00
-40.00,23.00,116.00,86.00,50.00,26.00,1698.00
-12.00,40.00,130.00,82.00,48.00,25.00,1804.00
25.00,68.00,171.00,92.00,51.00,28.00,1898.00
-10.00,53.00,90.00,37.00,63.00,34.00,261.00
-7.00,61.00,104.00,43.00,68.00,39.00,256.00
-6.00,63.00,107.00,44.00,69.00,40.00,261.00
-8.00,61.00,104.00,43.00,69.00,39.00,282.00
0.00,82.00,141.00,59.00,82.00,53.00,338.00
-7.00,62.00,106.00,44.00,69.00,40.00,325.00
-7.00,62.00,106.00,44.00,69.00,40.00,325.00
-4.00,69.00,118.00,49.00,73.00,44.00,335.00
-16.00,53.00,101.00,37.00,66.00,34.00,261.00
-10.00,63.00,114.00,44.00,70.00,40.00,251.00
-9.00,63.00,114.00,44.00,69.00,40.00,261.00
-11.00,61.00,103.00,43.00,64.00,39.00,282.00
-4.00,73.00,124.00,52.00,71.00,47.00,313.00
3.00,88.00,150.00,63.00,80.00,57.00,332.00
-9.00,64.00,116.00,45.00,70.00,41.00,320.00
-10.00,62.00,113.00,44.00,69.00,40.00,325.00
-6.00,69.00,126.00,49.00,73.00,44.00,335.00
9.00,47.00,82.00,35.00,38.00,11.00,196.00
9.00,47.00,82.00,35.00,38.00,11.00,191.00
10.00,49.00,85.00,36.00,39.00,11.00,187.00
11.00,51.00,88.00,37.00,40.00,12.00,195.00
14.00,53.00,92.00,39.00,39.00,12.00,212.00
17.00,59.00,103.00,44.00,42.00,14.00,258.00
19.00,60.00,105.00,45.00,41.00,14.00,253.00
14.00,53.00,92.00,39.00,39.00,12.00,244.00
9.00,47.00,82.00,35.00,38.00,11.00,248.00
19.00,53.00,91.00,39.00,36.00,12.00,212.00
19.00,55.00,95.00,41.00,38.00,13.00,239.00
26.00,60.00,104.00,45.00,38.00,14.00,253.00
18.00,52.00,97.00,39.00,40.00,12.00,248.00
21.00,53.00,98.00,39.00,39.00,12.00,244.00
13.00,47.00,87.00,35.00,38.00,11.00,248.00
18.00,51.00,95.00,38.00,39.00,12.00,256.00
44.00,68.00,114.00,46.00,24.00,12.00,777.00
38.00,61.00,103.00,42.00,23.00,11.00,771.00
45.00,70.00,118.00,48.00,25.00,13.00,766.00
43.00,67.00,112.00,45.00,24.00,12.00,777.00
36.00,58.00,97.00,39.00,22.00,10.00,799.00
31.00,53.00,89.00,36.00,22.00,10.00,828.00
27.00,47.00,79.00,32.00,20.00,8.00,837.00
27.00,48.00,81.00,33.00,21.00,9.00,836.00
26.00,46.00,77.00,31.00,20.00,8.00,844.00
69.00,68.00,128.00,46.00,25.00,12.00,777.00
56.00,61.00,110.00,42.00,23.00,11.00,771.00
64.00,67.00,119.00,45.00,24.00,12.00,777.00
50.00,58.00,96.00,39.00,20.00,10.00,799.00
43.00,53.00,88.00,36.00,20.00,10.00,828.00
50.00,57.00,95.00,39.00,20.00,10.00,845.00
39.00,48.00,79.00,32.00,19.00,8.00,841.00
40.00,47.00,84.00,32.00,20.00,8.00,837.00
42.00,47.00,84.00,32.00,19.00,8.00,833.00
40.00,48.00,86.00,33.00,21.00,9.00,836.00
39.00,46.00,82.00,31.00,20.00,8.00,844.00
26.00,71.00,123.00,52.00,45.00,17.00,405.00
-2.00,75.00,128.00,53.00,77.00,48.00,458.00
-6.00,73.00,133.00,52.00,77.00,47.00,421.00
107.00,182.00,363.00,181.00,75.00,50.00,1283.00
115.00,149.00,295.00,149.00,61.00,41.00,1245.00
129.00,155.00,330.00,155.00,68.00,43.00,1280.00
43.00,48.00,85.00,32.00,19.00,8.00,482.00
32.00,42.00,70.00,29.00,18.00,8.00,835.00
43.00,49.00,87.00,33.00,20.00,9.00,870.00
87.00,150.00,249.00,99.00,63.00,32.00,798.00
265.00,288.00,527.00,244.00,89.00,75.00,1213.00
54.00,68.00,119.00,52.00,27.00,17.00,554.00
99.00,136.00,230.00,94.00,37.00,26.00,562.00
145.00,145.00,243.00,100.00,37.00,28.00,598.00
28.00,73.00,127.00,54.00,45.00,17.00,424.00
42.00,64.00,114.00,43.00,36.00,13.00,424.00
115.00,186.00,310.00,124.00,71.00,40.00,961.00
114.00,186.00,309.00,123.00,72.00,40.00,932.00
79.00,140.00,232.00,92.00,61.00,30.00,1102.00
75.00,135.00,225.00,90.00,60.00,29.00,1139.00
135.00,165.00,273.00,110.00,62.00,36.00,1020.00
35.00,56.00,94.00,38.00,21.00,10.00,777.00
21.00,39.00,66.00,27.00,18.00,7.00,772.00
18.00,37.00,62.00,25.00,19.00,7.00,775.00
17.00,34.00,57.00,23.00,17.00,6.00,787.00
55.00,56.00,105.00,38.00,22.00,10.00,777.00
27.00,37.00,66.00,25.00,19.00,7.00,769.00
21.00,31.00,51.00,20.00,15.00,5.00,804.00
3.00,90.00,154.00,64.00,87.00,58.00,551.00
-2.00,76.00,131.00,55.00,78.00,49.00,627.00
-7.00,66.00,112.00,47.00,66.00,42.00,622.00
-11.00,61.00,104.00,44.00,64.00,39.00,617.00
3.00,86.00,157.00,61.00,84.00,55.00,613.00
30.00,75.00,130.00,55.00,45.00,18.00,312.00
24.00,68.00,119.00,51.00,44.00,16.00,311.00
19.00,62.00,108.00,46.00,43.00,15.00,367.00
41.00,107.00,193.00,86.00,66.00,32.00,484.00
27.00,85.00,153.00,68.00,58.00,25.00,619.00
61.00,107.00,206.00,86.00,66.00,32.00,484.00
46.00,96.00,171.00,77.00,59.00,29.00,529.00
56.00,102.00,196.00,82.00,64.00,31.00,601.00
47.00,92.00,170.00,78.00,45.00,24.00,965.00
38.00,80.00,148.00,68.00,42.00,21.00,998.00
36.00,77.00,142.00,65.00,41.00,20.00,1042.00
33.00,74.00,136.00,62.00,41.00,19.00,1059.00
38.00,81.00,150.00,69.00,43.00,21.00,1060.00
36.00,76.00,139.00,63.00,40.00,19.00,1075.00
68.00,89.00,174.00,74.00,43.00,22.00,949.00
68.00,91.00,178.00,76.00,45.00,23.00,965.00
33.00,60.00,109.00,50.00,33.00,15.00,1064.00
47.00,73.00,123.00,50.00,26.00,14.00,821.00
48.00,73.00,123.00,50.00,25.00,14.00,814.00
71.00,73.00,131.00,50.00,25.00,14.00,814.00
58.00,65.00,108.00,44.00,21.00,12.00,844.00
53.00,59.00,106.00,40.00,23.00,11.00,881.00
-3.00,73.00,125.00,52.00,76.00,47.00,421.00
-2.00,75.00,128.00,53.00,77.00,48.00,458.00
-7.00,65.00,112.00,47.00,72.00,42.00,521.00
2.00,87.00,168.00,63.00,90.00,57.00,435.00
-4.00,73.00,133.00,52.00,76.00,47.00,433.00
-8.00,63.00,106.00,44.00,64.00,40.00,496.00
-14.00,56.00,94.00,39.00,61.00,36.00,517.00
-4.00,74.00,134.00,52.00,77.00,47.00,509.00
-7.00,71.00,130.00,51.00,76.00,46.00,503.00
28.00,93.00,160.00,67.00,65.00,22.00,400.00
25.00,90.00,155.00,65.00,65.00,21.00,392.00
24.00,87.00,149.00,62.00,63.00,20.00,385.00
8.00,70.00,119.00,49.00,62.00,16.00,399.00
1.00,57.00,98.00,41.00,56.00,13.00,482.00
44.00,93.00,179.00,67.00,68.00,22.00,400.00
37.00,90.00,165.00,65.00,65.00,21.00,392.00
6.00,65.00,111.00,47.00,57.00,15.00,456.00
31.00,84.00,153.00,60.00,63.00,19.00,463.00
34.00,72.00,121.00,49.00,38.00,15.00,351.00
28.00,64.00,107.00,43.00,36.00,13.00,363.00
18.00,51.00,85.00,34.00,33.00,10.00,432.00
32.00,68.00,114.00,46.00,36.00,14.00,424.00
25.00,60.00,101.00,41.00,35.00,13.00,435.00
28.00,55.00,92.00,38.00,33.00,12.00,414.00
26.00,51.00,84.00,34.00,30.00,10.00,428.00
42.00,64.00,114.00,43.00,36.00,13.00,424.00
47.00,68.00,121.00,46.00,36.00,14.00,424.00
71.00,120.00,206.00,86.00,49.00,26.00,490.00
105.00,164.00,282.00,118.00,59.00,36.00,636.00
129.00,195.00,336.00,141.00,66.00,43.00,692.00
121.00,186.00,320.00,134.00,65.00,41.00,690.00
145.00,164.00,279.00,118.00,55.00,36.00,636.00
141.00,161.00,275.00,116.00,55.00,35.00,678.00
180.00,186.00,341.00,134.00,65.00,41.00,690.00
33.00,80.00,140.00,60.00,47.00,19.00,336.00
24.00,68.00,118.00,50.00,44.00,16.00,397.00
20.00,63.00,110.00,47.00,43.00,15.00,420.00
19.00,62.00,108.00,46.00,43.00,15.00,415.00
33.00,79.00,138.00,59.00,46.00,19.00,411.00
28.00,73.00,127.00,54.00,45.00,17.00,424.00
51.00,80.00,157.00,60.00,49.00,19.00,336.00
47.00,77.00,143.00,57.00,45.00,18.00,323.00
28.00,63.00,109.00,47.00,40.00,15.00,420.00
42.00,72.00,133.00,53.00,44.00,17.00,410.00
42.00,73.00,135.00,54.00,45.00,17.00,424.00
93.00,163.00,325.00,162.00,70.00,45.00,1091.00
81.00,146.00,291.00,145.00,65.00,40.00,1292.00
91.00,161.00,322.00,161.00,70.00,45.00,1267.00
108.00,182.00,363.00,181.00,74.00,50.00,1283.00
147.00,170.00,362.00,170.00,71.00,47.00,1073.00
140.00,163.00,346.00,162.00,69.00,45.00,1059.00
115.00,149.00,295.00,149.00,61.00,41.00,1245.00
112.00,146.00,288.00,145.00,60.00,40.00,1304.00
135.00,161.00,343.00,161.00,70.00,45.00,1267.00
26.00,45.00,75.00,30.00,19.00,8.00,794.00
24.00,44.00,74.00,30.00,20.00,8.00,829.00
19.00,38.00,63.00,25.00,19.00,7.00,823.00
51.00,54.00,101.00,36.00,22.00,10.00,777.00
42.00,48.00,86.00,33.00,20.00,9.00,772.00
49.00,55.00,98.00,37.00,22.00,10.00,768.00
36.00,45.00,74.00,30.00,18.00,8.00,794.00
33.00,44.00,73.00,30.00,19.00,8.00,829.00
25.00,36.00,65.00,25.00,19.00,7.00,823.00
28.00,36.00,64.00,24.00,17.00,6.00,829.00
29.00,56.00,100.00,44.00,27.00,14.00,623.00
30.00,56.00,99.00,43.00,26.00,14.00,597.00
27.00,53.00,94.00,41.00,26.00,13.00,592.00
45.00,56.00,112.00,44.00,28.00,14.00,623.00
45.00,56.00,107.00,44.00,26.00,14.00,618.00
43.00,55.00,104.00,43.00,26.00,14.00,613.00
41.00,56.00,98.00,43.00,24.00,14.00,597.00
37.00,53.00,93.00,41.00,24.00,13.00,592.00
98.00,104.00,197.00,81.00,38.00,26.00,551.00
15.00,32.00,53.00,21.00,17.00,5.00,454.00
12.00,29.00,49.00,20.00,17.00,5.00,464.00
9.00,26.00,44.00,18.00,17.00,5.00,478.00
9.00,25.00,41.00,16.00,16.00,4.00,484.00
25.00,34.00,60.00,22.00,17.00,6.00,452.00
17.00,29.00,49.00,20.00,16.00,5.00,464.00
12.00,26.00,44.00,18.00,16.00,5.00,486.00
42.00,48.00,85.00,32.00,20.00,8.00,482.00
68.00,126.00,210.00,84.00,58.00,27.00,651.00
68.00,126.00,210.00,84.00,58.00,27.00,632.00
